Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;Distance;Distance Unit;Seconds;Notes;Workout Notes
2018-11-15 16:53:18;"A";"Bent Over Row (Dumbbell)";5;50;lbs;7;;;0;;
2018-11-15 16:53:18;"A";"Overhead Press (Dumbbell)";1;22.5;lbs;5;;;0;"";
2018-11-15 16:53:18;"A";"Overhead Press (Dumbbell)";2;25;lbs;5;;;0;;
2018-11-15 16:53:18;"A";"Overhead Press (Dumbbell)";3;27.5;lbs;5;;;0;;
2018-11-15 16:53:18;"A";"Overhead Press (Dumbbell)";4;30;lbs;5;;;0;;
2018-11-15 16:53:18;"A";"Overhead Press (Dumbbell)";5;35;lbs;8;;;0;;
2018-11-11 17:06:44;"B";"Squat (Barbell)";1;25;lbs;5;;;0;"";""
2018-11-11 17:06:44;"B";"Squat (Barbell)";2;27.5;lbs;5;;;0;;
2018-11-11 17:06:44;"B";"Squat (Barbell)";3;30;lbs;5;;;0;;
2018-11-11 17:06:44;"B";"Squat (Barbell)";4;32.5;lbs;5;;;0;;
2018-11-11 17:06:44;"B";"Squat (Barbell)";5;35;lbs;10;;;0;;
2018-11-11 17:06:44;"B";"Bench Press (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-11-11 17:06:44;"B";"Bench Press (Dumbbell)";2;30;lbs;5;;;0;;
2018-11-11 17:06:44;"B";"Bench Press (Dumbbell)";3;35;lbs;5;;;0;;
2018-11-11 17:06:44;"B";"Bench Press (Dumbbell)";4;40;lbs;5;;;0;;
2018-11-11 17:06:44;"B";"Bench Press (Dumbbell)";5;45;lbs;6;;;0;;
2018-11-11 17:06:44;"B";"Pull Up";1;0;lbs;14;;;0;"";
2018-11-11 17:06:44;"B";"Pull Up";2;0;lbs;6;;;0;;
2018-11-07 17:53:05;"A";"Deadlift (Barbell)";1;85;lbs;5;;;0;"";""
2018-11-07 17:53:05;"A";"Deadlift (Barbell)";2;95;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Deadlift (Barbell)";3;105;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Deadlift (Barbell)";4;115;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Deadlift (Barbell)";5;125;lbs;7;;;0;;
2018-11-07 17:53:05;"A";"Bent Over Row (Dumbbell)";1;30;lbs;5;;;0;"";
2018-11-07 17:53:05;"A";"Bent Over Row (Dumbbell)";2;35;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Bent Over Row (Dumbbell)";3;40;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Bent Over Row (Dumbbell)";4;45;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Bent Over Row (Dumbbell)";5;50;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Overhead Press (Dumbbell)";1;22.5;lbs;5;;;0;"";
2018-11-07 17:53:05;"A";"Overhead Press (Dumbbell)";2;25;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Overhead Press (Dumbbell)";3;27.5;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Overhead Press (Dumbbell)";4;30;lbs;5;;;0;;
2018-11-07 17:53:05;"A";"Overhead Press (Dumbbell)";5;35;lbs;3;;;0;;
2018-11-05 16:06:40;"B";"Squat (Barbell)";1;25;lbs;5;;;0;"";""
2018-11-05 16:06:40;"B";"Squat (Barbell)";2;27.5;lbs;5;;;0;;
2018-11-05 16:06:40;"B";"Squat (Barbell)";3;30;lbs;5;;;0;;
2018-11-05 16:06:40;"B";"Squat (Barbell)";4;32.5;lbs;5;;;0;;
2018-11-05 16:06:40;"B";"Squat (Barbell)";5;35;lbs;6;;;0;;
2018-11-05 16:06:40;"B";"Bench Press (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-11-05 16:06:40;"B";"Bench Press (Dumbbell)";2;30;lbs;5;;;0;;
2018-11-05 16:06:40;"B";"Bench Press (Dumbbell)";3;35;lbs;5;;;0;;
2018-11-05 16:06:40;"B";"Bench Press (Dumbbell)";4;40;lbs;5;;;0;;
2018-11-05 16:06:40;"B";"Bench Press (Dumbbell)";5;45;lbs;6;;;0;;
2018-11-05 16:06:40;"B";"Pull Up";1;0;lbs;13;;;0;"";
2018-11-05 16:06:40;"B";"Pull Up";2;0;lbs;6;;;0;;
2018-11-02 16:53:36;"A";"Deadlift (Barbell)";1;85;lbs;5;;;0;"";""
2018-11-02 16:53:36;"A";"Deadlift (Barbell)";2;95;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Deadlift (Barbell)";3;105;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Deadlift (Barbell)";4;115;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Deadlift (Barbell)";5;125;lbs;9;;;0;;
